time_iso8601,stars_cumulative
2022-05-01 00:00:00+00:00,1
2023-02-27 00:00:00+00:00,2
2023-03-09 00:00:00+00:00,3
2023-04-12 00:00:00+00:00,4
2023-08-30 00:00:00+00:00,5
2023-10-12 00:00:00+00:00,6
2024-01-10 00:00:00+00:00,7
2024-02-01 00:00:00+00:00,8
2024-04-15 00:00:00+00:00,9
2024-10-09 00:00:00+00:00,10
2024-11-20 00:00:00+00:00,11
