referrer,views_total,views_unique
atracsys.com,37,11
Google,9,3
DuckDuckGo,3,2
statics.teams.cdn.office.net,2,2
arthrex.atlassian.net,1,1
smith-nephew.atlassian.net,1,1
Bing,1,1
