url_path,views_total,views_unique
/Atracsys/SlicerAstmPhantomTest,30,20
/Atracsys/SlicerAstmPhantomTest/tree/master,8,2
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest,4,2
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/AstmPhantomTest.py,2,2
/Atracsys/SlicerAstmPhantomTest/tree/master/readme_img,2,2
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/AstmPhantomTestClasses/Measurements.py,2,1
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/CMakeLists.txt,1,1
/Atracsys/SlicerAstmPhantomTest/blob/master/CMakeLists.txt,1,1
/Atracsys/SlicerAstmPhantomTest/blob/master/README.md,1,1
/Atracsys/SlicerAstmPhantomTest/blob/master/screenshots/screenshot1.png,1,1
