url_path,views_total,views_unique
/Atracsys/SlicerAstmPhantomTest,42,20
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/phantom2022_RAS.stl,8,1
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources/models,7,2
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest,5,3
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources,4,2
/Atracsys/SlicerAstmPhantomTest/commits,3,1
/Atracsys/SlicerAstmPhantomTest/commits/master,3,1
/Atracsys/SlicerAstmPhantomTest/blob/master/screenshots/screenshot1.png,2,2
/Atracsys/SlicerAstmPhantomTest/tree/master/screenshots,2,2
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/gt/phantom.txt,2,1
