url_path,views_total,views_unique
/Atracsys/SlicerAstmPhantomTest,44,18
/Atracsys/SlicerAstmPhantomTest/graphs/traffic,12,1
/Atracsys/SlicerAstmPhantomTest/tree/master/.github/workflows,7,1
/Atracsys/SlicerAstmPhantomTest/tree/e09a59f2097b6054f2fb1c0d8161db505b44ac16/AstmPhantomTest,4,2
/Atracsys/SlicerAstmPhantomTest/pulse,4,1
/Atracsys/SlicerAstmPhantomTest/stargazers,3,2
/Atracsys/SlicerAstmPhantomTest/tree/e09a59f2097b6054f2fb1c0d8161db505b44ac16/AstmPhantomTest/Resources/models,3,2
/Atracsys/SlicerAstmPhantomTest/blob/e09a59f2097b6054f2fb1c0d8161db505b44ac16/AstmPhantomTest/Resources/models/phantom2022_RAS.stl,3,1
/Atracsys/SlicerAstmPhantomTest/blob/github-repo-stats/Atracsys/SlicerAstmPhantomTest/latest-report/report.pdf,3,1
/Atracsys/SlicerAstmPhantomTest/commits/master,3,1
