time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-16 00:00:00+00:00,7,4,9.0,8.0
2025-07-17 00:00:00+00:00,5,3,8.0,5.0
2025-07-18 00:00:00+00:00,5,3,7.0,4.0
2025-07-19 00:00:00+00:00,7,5,,
2025-07-20 00:00:00+00:00,7,5,,
2025-07-21 00:00:00+00:00,5,3,21.0,6.0
2025-07-22 00:00:00+00:00,8,5,13.0,6.0
2025-07-23 00:00:00+00:00,9,4,43.0,4.0
2025-07-24 00:00:00+00:00,7,3,6.0,3.0
2025-07-25 00:00:00+00:00,11,5,13.0,4.0
2025-07-26 00:00:00+00:00,19,9,1.0,1.0
2025-07-27 00:00:00+00:00,10,6,,
2025-07-28 00:00:00+00:00,7,5,7.0,4.0
2025-07-29 00:00:00+00:00,4,2,14.0,11.0
