time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-02 00:00:00+00:00,7,3,2.0,2.0
2023-05-03 00:00:00+00:00,7,4,,
2023-05-04 00:00:00+00:00,7,3,1.0,1.0
2023-05-05 00:00:00+00:00,7,3,14.0,7.0
2023-05-06 00:00:00+00:00,7,3,12.0,5.0
2023-05-07 00:00:00+00:00,7,3,,
2023-05-08 00:00:00+00:00,11,5,2.0,1.0
2023-05-09 00:00:00+00:00,7,3,2.0,2.0
2023-05-10 00:00:00+00:00,8,4,3.0,2.0
2023-05-11 00:00:00+00:00,7,3,5.0,4.0
2023-05-12 00:00:00+00:00,9,4,5.0,2.0
2023-05-13 00:00:00+00:00,7,3,,
2023-05-14 00:00:00+00:00,7,3,,
2023-05-15 00:00:00+00:00,7,3,24.0,4.0
