url_path,views_total,views_unique
/Atracsys/SlicerAstmPhantomTest,30,25
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest,7,2
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources,4,2
/Atracsys/SlicerAstmPhantomTest/blob/master/screenshots/screenshot1.png,4,1
/Atracsys/SlicerAstmPhantomTest/blob/master/screenshots/screenshot3.png,4,1
/Atracsys/SlicerAstmPhantomTest/tree/master/screenshots,3,1
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/AstmPhantomTest.py,2,1
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/phantom2022_RAS.stl,2,1
/Atracsys/SlicerAstmPhantomTest/blob/master/readme_img/calib.svg,2,1
/Atracsys/SlicerAstmPhantomTest/blob/master/screenshots/screenshot2.png,2,1
