time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-22 00:00:00+00:00,6,3,,
2023-04-23 00:00:00+00:00,7,3,,
2023-04-24 00:00:00+00:00,9,5,2.0,2.0
2023-04-25 00:00:00+00:00,8,4,5.0,1.0
2023-04-26 00:00:00+00:00,7,3,,
2023-04-27 00:00:00+00:00,7,3,11.0,2.0
2023-04-28 00:00:00+00:00,7,3,22.0,7.0
2023-04-29 00:00:00+00:00,7,3,,
2023-04-30 00:00:00+00:00,8,4,,
2023-05-01 00:00:00+00:00,8,4,,
2023-05-02 00:00:00+00:00,7,3,2.0,2.0
2023-05-03 00:00:00+00:00,7,4,,
2023-05-04 00:00:00+00:00,7,3,1.0,1.0
2023-05-05 00:00:00+00:00,6,2,14.0,7.0
