time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-07 00:00:00+00:00,7,3,9.0,5.0
2024-03-08 00:00:00+00:00,9,5,2.0,2.0
2024-03-09 00:00:00+00:00,7,3,,
2024-03-10 00:00:00+00:00,8,4,,
2024-03-11 00:00:00+00:00,8,4,3.0,2.0
2024-03-12 00:00:00+00:00,8,4,8.0,4.0
2024-03-13 00:00:00+00:00,7,3,5.0,3.0
2024-03-14 00:00:00+00:00,7,3,19.0,7.0
2024-03-15 00:00:00+00:00,7,3,44.0,10.0
2024-03-16 00:00:00+00:00,7,3,,
2024-03-17 00:00:00+00:00,7,3,,
2024-03-18 00:00:00+00:00,8,4,85.0,5.0
2024-03-19 00:00:00+00:00,5,2,24.0,5.0
2024-03-20 00:00:00+00:00,6,2,50.0,7.0
