url_path,views_total,views_unique
/Atracsys/SlicerAstmPhantomTest,36,16
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/AstmPhantomTest.py,14,3
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest,9,4
/Atracsys/SlicerAstmPhantomTest/issues,6,2
/Atracsys/SlicerAstmPhantomTest/issues/5,6,2
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/AstmPhantomTestClasses,4,4
/Atracsys/SlicerAstmPhantomTest/tree/master,4,3
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/gt/phantom.txt,4,2
/Atracsys/SlicerAstmPhantomTest/tree/master/screenshots,2,2
/Atracsys/SlicerAstmPhantomTest/blob/master/README.md,2,1
