time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-30 00:00:00+00:00,10,5,4.0,3.0
2025-01-31 00:00:00+00:00,10,5,,
2025-02-01 00:00:00+00:00,4,3,1.0,1.0
2025-02-02 00:00:00+00:00,11,4,1.0,1.0
2025-02-03 00:00:00+00:00,6,4,2.0,2.0
2025-02-04 00:00:00+00:00,6,3,1.0,1.0
2025-02-05 00:00:00+00:00,11,5,1.0,1.0
2025-02-06 00:00:00+00:00,8,4,2.0,2.0
2025-02-07 00:00:00+00:00,12,5,1.0,1.0
2025-02-08 00:00:00+00:00,8,4,5.0,3.0
2025-02-09 00:00:00+00:00,7,3,5.0,2.0
2025-02-10 00:00:00+00:00,8,4,,
2025-02-11 00:00:00+00:00,4,2,3.0,2.0
