referrer,views_total,views_unique
Google,68,16
atracsys.com,15,8
github.com,4,3
m365.eu.vadesecure.com,3,2
Bing,1,1
atracsys.allthingscommunicate.it,1,1
statics.teams.cdn.office.net,1,1
search.brave.com,1,1
