time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-30 00:00:00+00:00,11,5,,
2025-03-31 00:00:00+00:00,8,4,7.0,1.0
2025-04-01 00:00:00+00:00,7,3,4.0,3.0
2025-04-02 00:00:00+00:00,6,4,16.0,5.0
2025-04-03 00:00:00+00:00,3,2,,
2025-04-04 00:00:00+00:00,12,5,37.0,2.0
2025-04-05 00:00:00+00:00,9,4,,
2025-04-06 00:00:00+00:00,11,4,,
2025-04-07 00:00:00+00:00,11,4,3.0,2.0
2025-04-08 00:00:00+00:00,10,4,3.0,2.0
2025-04-09 00:00:00+00:00,7,3,3.0,3.0
2025-04-10 00:00:00+00:00,11,4,19.0,4.0
2025-04-11 00:00:00+00:00,8,4,5.0,5.0
2025-04-12 00:00:00+00:00,6,2,1.0,1.0
