url_path,views_total,views_unique
/Atracsys/SlicerAstmPhantomTest,44,19
/Atracsys/SlicerAstmPhantomTest/blob/master/README.md,18,4
/Atracsys/SlicerAstmPhantomTest/commit/ee4439d239f6b302dda564f1f93b16b2b5937818,3,2
/Atracsys/SlicerAstmPhantomTest/pull/4,3,2
/Atracsys/SlicerAstmPhantomTest/blob/master/SlicerAstmPhantomTest.png,3,1
/Atracsys/SlicerAstmPhantomTest/tree/github-repo-stats/Atracsys/SlicerAstmPhantomTest,3,1
/Atracsys/SlicerAstmPhantomTest/tree/Static_test,3,1
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/AstmPhantomTest.py,2,1
/Atracsys/SlicerAstmPhantomTest/blob/master/readme_img/pitch.gif,2,1
/Atracsys/SlicerAstmPhantomTest/blob/master/readme_img/views.svg,2,1
