time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-02 00:00:00+00:00,8,6,29.0,8.0
2025-07-03 00:00:00+00:00,11,8,14.0,3.0
2025-07-04 00:00:00+00:00,6,3,1.0,1.0
2025-07-05 00:00:00+00:00,7,4,,
2025-07-06 00:00:00+00:00,9,6,,
2025-07-07 00:00:00+00:00,10,7,10.0,3.0
2025-07-08 00:00:00+00:00,8,5,36.0,9.0
2025-07-09 00:00:00+00:00,10,7,5.0,4.0
2025-07-10 00:00:00+00:00,9,6,11.0,7.0
2025-07-11 00:00:00+00:00,6,3,19.0,2.0
2025-07-12 00:00:00+00:00,10,7,,
2025-07-13 00:00:00+00:00,9,7,,
2025-07-14 00:00:00+00:00,11,8,4.0,3.0
2025-07-15 00:00:00+00:00,4,2,9.0,6.0
