url_path,views_total,views_unique
/Atracsys/SlicerAstmPhantomTest,35,25
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest,11,6
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/AstmPhantomTestClasses,7,6
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources,7,5
/Atracsys/SlicerAstmPhantomTest/blob/master/README.md,6,1
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/phantom2022_RAS.stl,5,4
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/phantom2018_RAS.stl,5,3
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/AstmPhantomTest.py,5,2
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources/models,4,3
/Atracsys/SlicerAstmPhantomTest/tree/master/.github/workflows,4,3
