url_path,views_total,views_unique
/Atracsys/SlicerAstmPhantomTest,32,14
/Atracsys/SlicerAstmPhantomTest/blob/master/AnalyzePhantomJSON.m,12,1
/Atracsys/SlicerAstmPhantomTest/blob/master/readme_img/locations_tests.svg,11,1
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources,10,1
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest,6,3
/Atracsys/SlicerAstmPhantomTest/tree/master/screenshots,6,1
/Atracsys/SlicerAstmPhantomTest/blob/master/License.txt,5,2
/Atracsys/SlicerAstmPhantomTest/tree/master/readme_img,4,2
/Atracsys/SlicerAstmPhantomTest/blob/master/screenshots/screenshot3.png,4,1
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources/models,4,1
