url_path,views_total,views_unique
/Atracsys/SlicerAstmPhantomTest,46,18
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest,13,5
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources,11,5
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources/models,10,4
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/phantom2022_RAS.stl,6,3
/Atracsys/SlicerAstmPhantomTest/tree/master,6,1
/Atracsys/SlicerAstmPhantomTest/tree/master/readme_img,4,1
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/AstmPhantomTest.py,3,3
/Atracsys/SlicerAstmPhantomTest/blob/master/CMakeLists.txt,3,2
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/phantom2018_RAS.stl,2,2
