url_path,views_total,views_unique
/Atracsys/SlicerAstmPhantomTest,48,19
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest,34,6
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/AstmPhantomTestClasses,13,3
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/AstmPhantomTest.py,13,2
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources,7,2
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/phantom2022_RAS.stl,6,2
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/AstmPhantomTestClasses/Phantom.py,4,2
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources/models,4,2
/Atracsys/SlicerAstmPhantomTest/tree/master,3,3
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/AstmPhantomTestClasses/__init__.py,2,1
