url_path,views_total,views_unique
/Atracsys/SlicerAstmPhantomTest,19,16
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest,14,3
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources,8,2
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/AstmPhantomTestClasses,4,2
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources/models,2,1
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources/ptr,2,1
/Atracsys/SlicerAstmPhantomTest/tree/master/.github/workflows,2,1
/Atracsys/SlicerAstmPhantomTest/tree/master/readme_img,2,1
/Atracsys/SlicerAstmPhantomTest/actions,1,1
/Atracsys/SlicerAstmPhantomTest/issues,1,1
