url_path,views_total,views_unique
/Atracsys/SlicerAstmPhantomTest,44,19
/Atracsys/SlicerAstmPhantomTest/blob/master/README.md,13,4
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/AstmPhantomTest.py,9,3
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources/models,7,3
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources,6,3
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest,5,4
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/phantom2022_RAS.stl,4,2
/Atracsys/SlicerAstmPhantomTest/blob/master/readme_img/server3.png,4,1
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/phantom2018_RAS.stl,3,2
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/pointer_RAS.stl,2,2
