time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-11 00:00:00+00:00,7,4,2.0,2.0
2025-08-12 00:00:00+00:00,6,4,1.0,1.0
2025-08-13 00:00:00+00:00,6,4,4.0,3.0
2025-08-14 00:00:00+00:00,1,1,,
2025-08-15 00:00:00+00:00,9,6,,
2025-08-16 00:00:00+00:00,6,3,5.0,3.0
2025-08-17 00:00:00+00:00,9,6,,
2025-08-18 00:00:00+00:00,6,3,,
2025-08-19 00:00:00+00:00,6,3,13.0,2.0
2025-08-20 00:00:00+00:00,10,6,2.0,1.0
2025-08-21 00:00:00+00:00,6,3,6.0,3.0
2025-08-22 00:00:00+00:00,6,3,,
2025-08-23 00:00:00+00:00,9,6,,
2025-08-24 00:00:00+00:00,5,2,26.0,1.0
