time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-07 00:00:00+00:00,8,3,1.0,1.0
2023-02-08 00:00:00+00:00,15,4,1.0,1.0
2023-02-09 00:00:00+00:00,6,3,1.0,1.0
2023-02-10 00:00:00+00:00,11,4,,
2023-02-11 00:00:00+00:00,9,4,,
2023-02-12 00:00:00+00:00,8,4,1.0,1.0
2023-02-13 00:00:00+00:00,7,4,,
2023-02-14 00:00:00+00:00,10,5,2.0,2.0
2023-02-15 00:00:00+00:00,7,3,4.0,2.0
2023-02-16 00:00:00+00:00,7,4,,
2023-02-17 00:00:00+00:00,7,3,1.0,1.0
2023-02-18 00:00:00+00:00,8,3,,
2023-02-19 00:00:00+00:00,6,3,2.0,1.0
2023-02-20 00:00:00+00:00,7,3,,
