url_path,views_total,views_unique
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest,57,8
/Atracsys/SlicerAstmPhantomTest,56,22
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources/models,25,4
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources,23,4
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/AstmPhantomTestClasses,22,4
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/AstmPhantomTest.py,13,2
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/phantom2022_RAS.stl,8,3
/Atracsys/SlicerAstmPhantomTest/blob/master/README.md,6,1
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/AstmPhantomTestClasses/Measurements.py,5,2
/Atracsys/SlicerAstmPhantomTest/blob/master/License.txt,5,1
