url_path,views_total,views_unique
/Atracsys/SlicerAstmPhantomTest,56,24
/Atracsys/SlicerAstmPhantomTest/blob/master/README.md,11,1
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest,6,4
/Atracsys/SlicerAstmPhantomTest/tree/master,5,2
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/AstmPhantomTestClasses,4,4
/Atracsys/SlicerAstmPhantomTest/blob/master/readme_img/server3.png,4,1
/Atracsys/SlicerAstmPhantomTest/blob/master/.github/workflows/github-repo-stats.yml,3,2
/Atracsys/SlicerAstmPhantomTest/tree/master/.github/workflows,3,2
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/AstmPhantomTest.py,3,1
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources,2,2
