url_path,views_total,views_unique
/Atracsys/SlicerAstmPhantomTest,81,26
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest,25,5
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/phantom2022_RAS.stl,20,3
/Atracsys/SlicerAstmPhantomTest/blob/master/README.md,20,2
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/phantom2018_RAS.stl,18,3
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources/models,18,3
/Atracsys/SlicerAstmPhantomTest/issues,16,2
/Atracsys/SlicerAstmPhantomTest/issues/5,15,1
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/stk300_RAS.stl,10,2
/Atracsys/SlicerAstmPhantomTest/tree/master/screenshots,10,2
