url_path,views_total,views_unique
/Atracsys/SlicerAstmPhantomTest,80,27
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest,25,5
/Atracsys/SlicerAstmPhantomTest/blob/master/README.md,22,3
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/phantom2022_RAS.stl,20,3
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/phantom2018_RAS.stl,18,3
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources/models,18,3
/Atracsys/SlicerAstmPhantomTest/issues,17,2
/Atracsys/SlicerAstmPhantomTest/issues/5,16,1
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/stk300_RAS.stl,10,2
/Atracsys/SlicerAstmPhantomTest/tree/master/screenshots,10,2
