time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-03 00:00:00+00:00,7,3,1.0,1.0
2024-01-04 00:00:00+00:00,7,3,17.0,2.0
2024-01-05 00:00:00+00:00,9,5,38.0,3.0
2024-01-06 00:00:00+00:00,7,3,,
2024-01-07 00:00:00+00:00,7,3,,
2024-01-08 00:00:00+00:00,8,4,6.0,5.0
2024-01-09 00:00:00+00:00,8,4,3.0,3.0
2024-01-10 00:00:00+00:00,8,4,42.0,5.0
2024-01-11 00:00:00+00:00,7,4,8.0,1.0
2024-01-12 00:00:00+00:00,5,3,,
2024-01-13 00:00:00+00:00,8,4,,
2024-01-14 00:00:00+00:00,7,3,,
2024-01-15 00:00:00+00:00,11,6,4.0,3.0
2024-01-16 00:00:00+00:00,6,2,9.0,3.0
