url_path,views_total,views_unique
/Atracsys/SlicerAstmPhantomTest,26,17
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest,6,3
/Atracsys/SlicerAstmPhantomTest/blob/master/README.md,3,2
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/AstmPhantomTest.py,2,2
/Atracsys/SlicerAstmPhantomTest/blob/master/screenshots/screenshot1.png,2,2
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/AstmPhantomTestClasses,2,2
/Atracsys/SlicerAstmPhantomTest/tree/master/screenshots,2,2
/Atracsys/SlicerAstmPhantomTest/blob/ccea5c3528b6353b12a31ab7f1b25a1ad5e2b9b6/AstmPhantomTest/AstmPhantomTestClasses/Phantom.py,1,1
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/AstmPhantomTestClasses/Measurements.py,1,1
/Atracsys/SlicerAstmPhantomTest/blob/master/CMakeLists.txt,1,1
