url_path,views_total,views_unique
/Atracsys/SlicerAstmPhantomTest,54,29
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest,7,5
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/AstmPhantomTestClasses/Measurements.py,6,3
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources,4,4
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/phantom2022_RAS.stl,4,2
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/AstmPhantomTest.py,3,2
/Atracsys/SlicerAstmPhantomTest/blob/master/readme_img/roll.gif,3,2
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources/gt,3,2
/Atracsys/SlicerAstmPhantomTest/blob/master/screenshots/screenshot1.png,2,2
/Atracsys/SlicerAstmPhantomTest/blob/master/SlicerAstmPhantomTest.png,2,2
