time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-15 00:00:00+00:00,8,4,,
2023-06-16 00:00:00+00:00,7,3,,
2023-06-17 00:00:00+00:00,7,3,,
2023-06-18 00:00:00+00:00,7,3,,
2023-06-19 00:00:00+00:00,8,4,14.0,4.0
2023-06-20 00:00:00+00:00,7,3,56.0,5.0
2023-06-21 00:00:00+00:00,7,3,5.0,3.0
2023-06-22 00:00:00+00:00,10,5,1.0,1.0
2023-06-23 00:00:00+00:00,7,3,2.0,2.0
2023-06-24 00:00:00+00:00,5,3,,
2023-06-25 00:00:00+00:00,6,4,4.0,1.0
2023-06-26 00:00:00+00:00,9,5,3.0,2.0
2023-06-27 00:00:00+00:00,8,4,8.0,5.0
2023-06-28 00:00:00+00:00,7,3,13.0,6.0
