time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-15 00:00:00+00:00,7,3,6.0,3.0
2023-09-16 00:00:00+00:00,8,4,,
2023-09-17 00:00:00+00:00,8,4,3.0,2.0
2023-09-18 00:00:00+00:00,8,4,2.0,1.0
2023-09-19 00:00:00+00:00,8,3,65.0,4.0
2023-09-20 00:00:00+00:00,6,3,1.0,1.0
2023-09-21 00:00:00+00:00,10,4,16.0,2.0
2023-09-22 00:00:00+00:00,10,4,2.0,2.0
2023-09-23 00:00:00+00:00,7,3,3.0,1.0
2023-09-24 00:00:00+00:00,7,3,,
2023-09-25 00:00:00+00:00,8,4,5.0,4.0
2023-09-26 00:00:00+00:00,7,3,1.0,1.0
2023-09-27 00:00:00+00:00,10,4,,
2023-09-28 00:00:00+00:00,6,2,1.0,1.0
