url_path,views_total,views_unique
/Atracsys/SlicerAstmPhantomTest,30,15
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/AstmPhantomTestClasses,4,3
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest,3,3
/Atracsys/SlicerAstmPhantomTest/tree/master/screenshots,3,2
/Atracsys/SlicerAstmPhantomTest/blob/master/screenshots/screenshot1.png,2,2
/Atracsys/SlicerAstmPhantomTest/tree/github-repo-stats,2,1
/Atracsys/SlicerAstmPhantomTest/blob/master/CMakeLists.txt,1,1
/Atracsys/SlicerAstmPhantomTest/blob/master/screenshots/screenshot2.png,1,1
/Atracsys/SlicerAstmPhantomTest/blob/master/screenshots/screenshot3.png,1,1
/Atracsys/SlicerAstmPhantomTest/blob/master/SlicerAstmPhantomTest.png,1,1
