time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-10 00:00:00+00:00,11,4,,
2023-02-11 00:00:00+00:00,9,4,,
2023-02-12 00:00:00+00:00,8,4,1.0,1.0
2023-02-13 00:00:00+00:00,7,4,,
2023-02-14 00:00:00+00:00,10,5,2.0,2.0
2023-02-15 00:00:00+00:00,7,3,4.0,2.0
2023-02-16 00:00:00+00:00,7,4,,
2023-02-17 00:00:00+00:00,7,3,1.0,1.0
2023-02-18 00:00:00+00:00,8,3,,
2023-02-19 00:00:00+00:00,6,3,2.0,1.0
2023-02-20 00:00:00+00:00,8,4,,
2023-02-21 00:00:00+00:00,7,3,12.0,2.0
2023-02-22 00:00:00+00:00,5,3,3.0,3.0
2023-02-23 00:00:00+00:00,6,2,7.0,3.0
