time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-12 00:00:00+00:00,7,3,,
2023-08-13 00:00:00+00:00,7,3,,
2023-08-14 00:00:00+00:00,7,4,7.0,3.0
2023-08-15 00:00:00+00:00,7,3,2.0,2.0
2023-08-16 00:00:00+00:00,7,3,3.0,1.0
2023-08-17 00:00:00+00:00,7,3,28.0,1.0
2023-08-18 00:00:00+00:00,2,2,4.0,4.0
2023-08-19 00:00:00+00:00,5,3,,
2023-08-20 00:00:00+00:00,7,3,,
2023-08-21 00:00:00+00:00,8,4,13.0,4.0
2023-08-22 00:00:00+00:00,8,4,59.0,3.0
2023-08-23 00:00:00+00:00,11,7,17.0,4.0
2023-08-24 00:00:00+00:00,8,5,3.0,1.0
2023-08-25 00:00:00+00:00,6,2,3.0,2.0
