time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-08 00:00:00+00:00,10,4,3.0,2.0
2025-04-09 00:00:00+00:00,7,3,3.0,3.0
2025-04-10 00:00:00+00:00,11,4,19.0,4.0
2025-04-11 00:00:00+00:00,8,4,5.0,5.0
2025-04-12 00:00:00+00:00,10,4,1.0,1.0
2025-04-13 00:00:00+00:00,10,4,,
2025-04-14 00:00:00+00:00,9,4,2.0,2.0
2025-04-15 00:00:00+00:00,12,6,18.0,7.0
2025-04-16 00:00:00+00:00,12,5,34.0,5.0
2025-04-17 00:00:00+00:00,13,5,28.0,4.0
2025-04-18 00:00:00+00:00,12,5,19.0,1.0
2025-04-19 00:00:00+00:00,12,6,,
2025-04-20 00:00:00+00:00,7,3,,
2025-04-21 00:00:00+00:00,6,2,,
