url_path,views_total,views_unique
/Atracsys/SlicerAstmPhantomTest,27,17
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest,8,3
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources/models,5,1
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/AstmPhantomTest.py,4,2
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/phantom2022_RAS.stl,4,1
/Atracsys/SlicerAstmPhantomTest/blob/master/readme_img/setup_example_light.svg,4,1
/Atracsys/SlicerAstmPhantomTest/blob/master/readme_img/wv_nodes_light.svg,3,1
/Atracsys/SlicerAstmPhantomTest/labels,3,1
/atracsys/slicerastmphantomtest,2,1
/Atracsys/SlicerAstmPhantomTest/blob/master/readme_img/tests_single.png,2,1
